__________________________________________________________________________________________________________
🎈稳定流畅,#genre#

CCTV1,http://ldncctvwbndks.v.kcdnvip.com/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV1,https://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8?aliyun_uuid=b3b8e538-3470-4fa0-b6ed-2b138e5f5fef&auth_key=2145888000-0-0-fda7ddb73d3cb5ac5bddf4eeba9b665e
1905电影a,http://hrare.gnway.cc:8000/tv/1905.php?id=1905a
1905电影b,http://hrare.gnway.cc:8000/tv/1905.php?id=1905b
CCTV13,http://ldncctvwbndks.v.kcdnvip.com/ldncctvwbnd/ldcctv13_2/index.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/720p.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/108p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/720p.m3u8 
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8 
浙江钱江,http://hw-m-l.cztv.com/channels/lantian/channel002/720p.m3u8
浙江经济,http://hw-m-l.cztv.com/channels/lantian/channel003/720p.m3u8
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel007/720p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/720p.m3u8
河北卫视,https://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=3944fff7fdd8f8caf6adce2c9a0ef126
山西卫视,http://live.cooltv.top/tv/tide.php?id=sxiws2
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
通渭电视,http://play.kankanlive.com/live/1661761962676984.m3u8

🎈央视频,#genre#
CCTV1,http://ldncctvwbndks.v.kcdnvip.com/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV1,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv1
CCTV2,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv2
CCTV3,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv3
CCTV4,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv4
CCTV5,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv5
CCTV6,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv6
CCTV7,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv7
CCTV8,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv8
CCTV9,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv9
CCTV10,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv10
CCTV11,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv11
CCTV12,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv12
CCTV13,http://ldncctvwbndks.v.kcdnvip.com/ldncctvwbnd/ldcctv13_2/index.m3u8
CCTV13,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv13
CCTV14,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv14
CCTV15,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv15
CCTV16,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv16
CCTV17,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv17
CCTV5+,http://hrare.gnway.cc:8000/tv/ysp.php?id=cctv5p 
北京卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=bjws
东方卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=dfws
天津卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=tjws
重庆卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=cqws
黑龙江卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=hljws
辽宁卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=lnws
河北卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=hbws
山东卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=sdws
安徽卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=ahws
河南卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=hnws
湖北卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=hubws
湖南卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=hunws
江西卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=jxws
江苏卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=jsws
浙江卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=zjws
东南卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=dnws
广东卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=gdws
深圳卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=szws
广西卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=gxws
贵州卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=gzws
四川卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=scws
新疆卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=xjws
海南卫视,http://hrare.gnway.cc:8000/tv/ysp.php?id=hinws

CCTV1,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv1
CCTV2,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv2
CCTV3,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv3
CCTV4,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv4
CCTV5,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv5
CCTV6,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv6
CCTV7,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv7
CCTV8,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv8
CCTV9,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv9
CCTV10,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv10
CCTV11,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv11
CCTV12,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv12
CCTV13,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv13
CCTV14,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv14
CCTV15,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv15
CCTV16,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv16
CCTV17,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv17
CCTV5+,http://hrare.gnway.cc:8000/tv/mg.php?id=cctv5p 
北京卫视,http://hrare.gnway.cc:8000/tv/mg.php?id=bjws
东方卫视,http://hrare.gnway.cc:8000/tv/mg.php?id=dfws
天津卫视,http://hrare.gnway.cc:8000/tv/mg.php?id=tjws
重庆卫视,http://hrare.gnway.cc:8000/tv/mg.php?id=cqws
黑龙江卫视,http://hrare.gnway.cc:8000/tv/mg.php?id=hljws
辽宁卫视,http://hrare.gnway.cc:8000/tv/mg.php?id=lnws
